,sent_index,token,label,chapter_tag,split_tag
0,1,"""",O,Chapter 1,train
1,1,My,O,Chapter 1,train
2,1,dear,O,Chapter 1,train
3,1,Mr,O,Chapter 1,train
4,1,Bennet,O,Chapter 1,train
5,1,",",O,Chapter 1,train
6,1,"""",O,Chapter 1,train
7,1,*,O,Chapter 1,train
8,1,"""",O,Chapter 1,train
9,1,have,O,Chapter 1,train
10,1,you,O,Chapter 1,train
11,1,heard,O,Chapter 1,train
12,1,that,O,Chapter 1,train
13,1,Netherfield,O,Chapter 1,train
14,1,Park,O,Chapter 1,train
15,1,is,O,Chapter 1,train
16,1,let,O,Chapter 1,train
17,1,at,O,Chapter 1,train
18,1,last,O,Chapter 1,train
19,1,?,O,Chapter 1,train
20,1,"""",O,Chapter 1,train
21,2,"""",B-P,Chapter 1,train
22,2,But,I-P,Chapter 1,train
23,2,it,I-P,Chapter 1,train
24,2,is,I-P,Chapter 1,train
25,2,",",I-P,Chapter 1,train
26,2,"""",I-P,Chapter 1,train
27,2,*,I-P,Chapter 1,train
28,2,"""",I-P,Chapter 1,train
29,2,for,I-P,Chapter 1,train
30,2,Mrs,I-P,Chapter 1,train
31,2,Long,I-P,Chapter 1,train
32,2,has,I-P,Chapter 1,train
33,2,just,I-P,Chapter 1,train
34,2,been,I-P,Chapter 1,train
35,2,here,I-P,Chapter 1,train
36,2,",",I-P,Chapter 1,train
37,2,and,I-P,Chapter 1,train
38,2,she,I-P,Chapter 1,train
39,2,told,I-P,Chapter 1,train
40,2,me,I-P,Chapter 1,train
41,2,all,I-P,Chapter 1,train
42,2,about,I-P,Chapter 1,train
43,2,it,I-P,Chapter 1,train
44,2,.,I-P,Chapter 1,train
45,2,"""",I-P,Chapter 1,train
46,3,"""",B-P,Chapter 1,train
47,3,Do,I-P,Chapter 1,train
48,3,you,I-P,Chapter 1,train
49,3,not,I-P,Chapter 1,train
50,3,want,I-P,Chapter 1,train
51,3,to,I-P,Chapter 1,train
52,3,know,I-P,Chapter 1,train
53,3,who,I-P,Chapter 1,train
54,3,has,I-P,Chapter 1,train
55,3,taken,I-P,Chapter 1,train
56,3,it,I-P,Chapter 1,train
57,3,?,I-P,Chapter 1,train
58,3,"""",I-P,Chapter 1,train
59,3,*,I-P,Chapter 1,train
60,4,"""",B-R,Chapter 1,train
61,4,You,I-R,Chapter 1,train
62,4,want,I-R,Chapter 1,train
63,4,to,I-R,Chapter 1,train
64,4,tell,I-R,Chapter 1,train
65,4,me,I-R,Chapter 1,train
66,4,",",I-R,Chapter 1,train
67,4,and,I-R,Chapter 1,train
68,4,I,I-R,Chapter 1,train
69,4,have,I-R,Chapter 1,train
70,4,no,I-R,Chapter 1,train
71,4,objection,I-R,Chapter 1,train
72,4,to,I-R,Chapter 1,train
73,4,hearing,I-R,Chapter 1,train
74,4,it,I-R,Chapter 1,train
75,4,.,I-R,Chapter 1,train
76,4,"""",I-R,Chapter 1,train
77,5,"""",O,Chapter 1,train
78,5,Why,O,Chapter 1,train
79,5,",",O,Chapter 1,train
80,5,my,O,Chapter 1,train
81,5,dear,O,Chapter 1,train
82,5,",",O,Chapter 1,train
83,5,you,O,Chapter 1,train
